business_id,name,address,city,state,postal_code,latitude,longitude,phone_number
4068010013,"BURGER KING 212","600 JONES FERRY RD","CARRBORO",NC,27510,,,+19199298395
4068010016,"CAROL WOODS CAFETERIA","750 WEAVER DAIRY RD","CHAPEL HILL",NC,27514,,,+19199183203
4068010027,"COUNTRY JUNCTION","402 WEAVER ST","CARRBORO",NC,27510,,,+19199292462
4068010037,"FARM HOUSE","6004 MILLHOUSE RD","CHAPEL HILL",NC,27516,,,+19199295727
4068010040,"FOUR-ELEVEN-WEST","411 W FRANKLIN ST","CHAPEL HILL",NC,27514,,,+19199672782
4068010046,"GILLISS  BBQ","6817 HWY 57 N","ROUGEMONT",NC,27572,,,+19197326106
4068010055,"HARDEES   1561","380 S CHURTON ST","HILLSBOROUGH",NC,27278,,,+19197323592
4068010058,"HEAVENLY CATERING","1821 FORDHAM BLVD","CHAPEL HILL",NC,27514,,,+19199291722
4068010066,"HUNAM CHINESE RESTAURANT","790 MLK BLVD","CHAPEL HILL",NC,27514,,,+19199676133
4068010070,"JADE PALACE","103  E MAIN ST UNIT A","CARRBORO",NC,27510,,,
4068010073,"KENTUCKY FRIED CHICKEN","353 S CHURTON ST","HILLSBOROUGH",NC,27278,,,+19197325590
4068010075,"LA RESIDENCE","202 W ROSEMARY ST","CHAPEL HILL",NC,27516,,,+19199672506
4068010083,"MARCELS  CATERING","1821 N FORDHAM BLVD","CHAPEL HILL",NC,27514,,,+19199670066
4068010099,"BREAD & BUTTER","503 W ROSEMARY ST","CHAPEL HILL",NC,27514,,,+19199678818
4068010125,"LULAS","101 E FRANKLIN ST","CHAPEL HILL",NC,27514,,,
4068010127,"SQUIDS","1201 N FORDHAM BLVD","CHAPEL HILL",NC,27514,,,+19199290780
4068010131,"SUBWAY HILLSBOROUGH","167 MAYO ST","HILLSBOROUGH",NC,27278,,,+19196447827
4068010133,"SUTTONS DRUGSTORE INC","159 E FRANKLIN ST","CHAPEL HILL",NC,27514,,,
4068010139,"THE CATERING COMPANY OF CHAPEL HILL","1322 N FORDHAM BLVD","CHAPEL HILL",NC,27514,,,+19199294775
4068010156,"WEAVER STREET MARKET 1 COOP","101 E WEAVER ST","CARRBORO",NC,27510,,,+19199290010
4068010160,"SPEEDWAY LLC","1213 MLK BLVD","CHAPEL HILL",NC,27514,,,+19199297855
4068010161,"YE OLDE WAFFLE SHOP","173 E FRANKLIN ST","CHAPEL HILL",NC,27514,,,
4068010163,"MCDONALDS","501 HAMPTON POINTE BLVD","HILLSBOROUGH",NC,27278,,,+19197325870
4068010191,"LINDAS BAR AND GRILL","203 E FRANKLIN ST","CHAPEL HILL",NC,27514,,,+19199336663
4068010196,"AMANTE GOURMET PIZZA","300 E MAIN ST","CARRBORO",NC,27510,,,+19199293330
4068010202,"MERRITTS  GRILL","1009 S COLUMBIA ST","CHAPEL HILL",NC,27514,,,+19199424897
4068010217,"STARPOINT CONVENIENCE GRILL","1950 US 15-501 S","CHAPEL HILL",NC,27514,,,+19199332893
4068010243,"ARMADILLO GRILL","120 E MAIN ST","CARRBORO",NC,27510,,,+19199294669
4068010250,"BREADMENS","324 W ROSEMARY ST","CHAPEL HILL",NC,27516,,,+19199677110
4068010265,"HARDEES   1421","1800 CHAPEL HILL DURHAM BLVD","CHAPEL HILL",NC,27514,,,+19199298516
4068010269,"PANTANA  BOBS","300 W ROSEMARY ST","CHAPEL HILL",NC,27514,,,+19199427575
4068010282,"MCDONALDS 5241","400 S CHURTON ST","HILLSBOROUGH",NC,27278,,,+19197329898
4068010286,"WALTS GRILL","111 S MERRITT MILL RD","CHAPEL HILL",NC,27516,,,+19199331744
4068010288,"CAROLINA BREWERY","460 W FRANKLIN ST","CHAPEL HILL",NC,27514,,,+19199421800
4068010289,"SARATOGA GRILL","108 S CHURTON ST","HILLSBOROUGH",NC,27278,,,+19197322214
4068010291,"THAI PALACE","1206 RALEIGH RD","CHAPEL HILL",NC,27514,,,+19199675805
4068010294,"JOE VAN GOGH","1129 WEAVER DAIRY RD","CHAPEL HILL",NC,27514,,,+19199672450
4068010298,"BANDIDOS MEXICAN CAFE","159 1/2 E FRANKLIN ST","CHAPEL HILL",NC,27514,,,
4068010314,"THE LOOP PIZZA GRILL","1800 E FRANKLIN ST","CHAPEL HILL",NC,27514,,,+19199697112
4068010323,"MEDITERRANEAN DELI","410 W FRANKLIN ST","CHAPEL HILL",NC,27514,,,+19199672666
4068010326,"LIBBYS TOO","4910 HILLSBOROUGH RD","DURHAM",NC,27705,,,
4068010332,"HARRIS TEETER DELI 117","2110 S ESTES DR","CHAPEL HILL",NC,27514,,,+19199335700
4068010349,"ELMOS DINER","200 N GREENSBORO ST","CARRBORO",NC,27510,,,+19199292909
4068010351,"TOP OF THE HILL","100 E FRANKLIN ST","CHAPEL HILL",NC,27515,,,+19199298676
4068010361,"BANDIDOS MEXICAN CAFE","122 S CHURTON ST","HILLSBOROUGH",NC,27278,,,+19197328662
4068010366,"WHOLE FOODS 10008","81 S ELLIOTT RD","CHAPEL HILL",NC,27514,,,+19199681983
4068010369,"CARRBURRITOS","711 W ROSEMARY ST","CARRBORO",NC,27510,,,+19199338226
4068010371,"STARBUCKS COFFEE   #8245","103 E FRANKLIN ST","CHAPEL HILL",NC,27514,,,
4068010385,"AKAI HANA JAPANESE RESTAURANT","206 W MAIN ST","CARRBORO",NC,27510,,,+19199426848
4068010394,"MARIAKAKIS FINE FOODS","1322 FORDHAM RD UNIT 1","CHAPEL HILL",NC,27514,,,
4068010401,"HUEYS RESTAURANT","7601 HWY 70 E","MEBANE",NC,27302,,,+19195636731
4068010407,"ACME FOOD AND BEVERAGE","110 E MAIN ST","CARRBORO",NC,27510,,,+19199292263
4068010410,"LA HACIENDA","1813 CHAPEL HILL BLVD","CHAPEL HILL",NC,27514,,,+19199670207
4068010433,"TYLERS RESTAURANT AND TAP ROOM","102 E MAIN STREET","CARRBORO",NC,27510,,,+19199296881
4068010434,"THE ROOT CELLAR CAFE CATERING","750 MLK BLVD","CHAPEL HILL",NC,27514,,,
4068010438,"SUBWAY 5709","1129 WEAVER DAIRY RD","CHAPEL HILL",NC,27514,,,+19199677771
4068010447,"MAMA DIPS KITCHEN","408 W ROSEMARY ST","CHAPEL HILL",NC,27516,,,+19199425837
4068010448,"ANNA MARIAS  PIZZERIA","104 W HWY 54 UNIT U","CARRBORO",NC,27510,,,+19199291877
4068010460,"COSMIC CANTINA","128 E FRANKLIN STREET","CHAPEL HILL",NC,27514,,,+19199603955
4068010476,"ELAINES ON FRANKLIN","455 W FRANKLIN ST","CHAPEL HILL",NC,27516,,,+19199602770
4068010490,"BOJANGLES 26","330 S CHURTON ST","HILLSBOROUGH",NC,27278,,,+19192453720
4068010493,"IRON SKILLET 29","501 BUCKHORN RD","MEBANE",NC,27302,,,+19193047475
4068010495,"ITALIAN PIZZERIA 3","508 W FRANKLIN ST","CHAPEL HILL",NC,27516,,,+19199684671
4068010516,"ARBYS","102 NC HWY 54 W UNIT A","CARRBORO",NC,27510,,,+19199288565
4068010521,"SUBWAY 920","602 JONES FERRY RD","CARRBORO",NC,27510,,,+19199292288
4068010527,"KURAMA","105 N COLUMBIA STREET","CHAPEL HILL",NC,27514,,,+19199684747
4068010531,"CAFE DRIADE","1215 E FRANKLIN ST UNIT A","CHAPEL HILL",NC,27514,,,+19199422333
4068010548,"K&W CAFETERIA #12","201 S ESTES DR","CHAPEL HILL",NC,27514,,,+19199427809
4068010555,"MCDONALDS","1748 N FORDHAM BLVD","CHAPEL HILL",NC,27514,,,+19199420000
4068010556,"LANTERN  RESTAURANT","423 W FRANKLIN ST","CHAPEL HILL",NC,27516,,,+19199698846
4068010561,"BRIXX  PIZZA","501 MEADOWMONT VILLAGE CIR","CHAPEL HILL",NC,27516,,,+19199291942
4068010569,"ALFREDOS PIZZA VILLA","201 S ESTES DR","CHAPEL HILL",NC,27514,,,
4068010570,"WEAVER STREET MARKET 2 COOP","716 MARKET ST","CHAPEL HILL",NC,27516,,,+19199292009
4068010573,"FIESTA GRILL","3307 HWY 54 W","CHAPEL HILL",NC,27516,,,+19199289002
4068010580,"FOUST CORNER MARKET","509 EAST CENTER ST","MEBANE",NC,27302,,,+19195632002
4068010583,"CAFE CAROLINA & BAKERY 7254","601 MEADOWMONT VILLAGE CIR","CHAPEL HILL",NC,27517,,,+19199458811
4068010598,"SAGE","1129 WEAVER DAIRY RD","CHAPEL HILL",NC,27514,,,
4068010607,"JIMMY JOHNS","306 W FRANKLIN ST UNIT C","CHAPEL HILL",NC,27516,,,+19199687827
4068010612,"OISHII JAPANESE","1129 WEAVER DAIRY RD","CHAPEL HILL",NC,27514,,,+19199327002
4068010613,"PAZZO","700 MARKET ST","CHAPEL HILL",NC,27516,,,+19199299984
4068010620,"SUBWAY","129 N SCOTSWOOD BLVD","HILLSBOROUGH",NC,27278,,,+19197323364
4068010624,"ALPINE BAGEL CAFE","2501 SOUTH RD","CHAPEL HILL",NC,27599,,,+19192001573
4068010636,"SUBWAY","525 HAMPTON BLVD UNIT 5","HILLSBOROUGH",NC,27278,,,
4068010655,"VINNYS  ITALIAN GRILL & PIZZERIA","133 N SCOTSWOOD BLVD","HILLSBOROUGH",NC,27278,,,+19197329219
4068010658,"TAQUERIA DE BAJIO","506 JONES FERRY RD","CARRBORO",NC,27510,,,+19199691556
4068010659,"CHINA WOK 1","104 W HWY 54  UNIT C","CARRBORO",NC,27510,,,+19199299988
4068010663,"CHICK FIL A #00400","201 S ESTES DR","CHAPEL HILL",NC,27514,,,+19199680126
4068010673,"ANNA MARIAS","670 N CHURTON ST","HILLSBOROUGH",NC,27278,,,+19192451900
4068010675,"RASA MALAYSIA","410 MARKET ST","CHAPEL HILL",NC,27516,,,+19199331188
4068010677,"BIN 54","1201 RALEIGH RD UNIT M","CHAPEL HILL",NC,27516,,,+19199691155
4068010680,"JUJUBE","1201 RALEIGH RD UNIT L","CHAPEL HILL",NC,27514,,,+19199691131
4068010683,"OPEN EYE CAFE","101 S GREENSBORO ST","CARRBORO",NC,27510,,,
4068010699,"MILL TOWN","307 E MAIN ST","CARRBORO",NC,27510,,,+19199682460
4068010701,"WINGMAN","104 W HWY 54 UNIT S","CARRBORO",NC,27510,,,+19199242140
4068010702,"PANCIUTO","110 SOUTH CHURTON ST","HILLSBOROUGH",NC,27278,,,+19197326820
4068010704,"POPS  PIZZERIA","1822 MARTIN LUTHER KING BLVD","CHAPEL HILL",NC,27514,,,+19199321040
4068010705,"LIME & BASIL","200 W FRANKLIN ST","CHAPEL HILL",NC,27516,,,+19199675055
4068010708,"RED LOTUS","239 S ELLIOTT RD","CHAPEL HILL",NC,27514,,,+19194526950
4068010713,"CHINA WOK 2","1129 WEAVER DAIRY RD","CHAPEL HILL",NC,27514,,,+19199426388
4068010722,"RESIDENCE INN","101 ERWIN RD","CHAPEL HILL",NC,27514,,,+19199334848
4068010724,"GLASSHALFULL","106 S GREENSBORO ST  UNIT A","CARRBORO",NC,27510,,,+19197944107
4068010726,"TIME OUT TAVERN","1301 N FORDHAM BLVD","CHAPEL HILL",NC,27514,,,+19109288409
4068010730,"ROBERT & PEARL SEYMOUR CENTER","2551 HOMESTEAD RD","CHAPEL HILL",NC,27516,,,+19199682070
4068010734,"CHIPOTLE MEXICAN GRILL 0809","301 W FRANKLIN ST","CHAPEL HILL",NC,27516,,,+19199422091
4068010735,"LA PLACE","111 NORTH CHURTON ST","HILLSBOROUGH",NC,27278,,,+19192450040
4068010753,"BRUEGGERS BAGEL BAKERY","1800 E FRANKLIN ST","CHAPEL HILL",NC,27514,,,+19199295524
4068010754,"HOLIDAY INN EXPRESS","202 CARDINAL DR","HILLSBOROUGH",NC,27278,,,+19196447997
4068010755,"I LOVE NY PIZZA","106 W FRANKLIN ST","CHAPEL HILL",NC,27516,,,+19199684224
4068010756,"NEALS DELI","100 E MAIN ST UNIT C","CARRBORO",NC,27510,,,+19199672185
4068010757,"MISSYS GRILL","321 MT. WILLING RD","EFLAND",NC,27243,,,+19197327721
4068010759,"WEAVER STREET MARKET COOP","228 S CHURTON ST","HILLSBOROUGH",NC,27278,,,+19192455050
4068010760,"BUNS","107 N COLUMBIA ST","CHAPEL HILL",NC,27514,,,
4068010770,"CHINA FUJI","615 HAMPTON POINT BLVD SUIT108","HILLSBOROUGH",NC,27278,,,+19197323588
4068010771,"CAROLINA CROSSROADS","211 PITTSBORO ST","CHAPEL HILL",NC,27516,,,+19199332001
4068010773,"MINT","504 W FRANKLIN ST","CHAPEL HILL",NC,27516,,,+19199296188
4068010775,"SUBWAY 43336","400 MARKET ST UNIT100","CHAPEL HILL",NC,27516,,,+19199295504
4068010777,"STARBUCKS","1800 E FRANKLIN ST UNIT B","CHAPEL HILL",NC,27514,,,+19199292613
4068010779,"COUNTRY FRESH GRILL","1414 US HWY 70 E","HILLSBOROUGH",NC,27278,,,+19197328372
4068010790,"PASSMORE  CENTER","103 MEADOWLANDS DR","HILLSBOROUGH",NC,27278,,,+19192452016
4068010793,"SUBWAY","1216  RALEIGH RD UNIT A","CHAPEL HILL",NC,27517,,,+19199684233
4068010797,"ORANGE COUNTY SPORTSPLEX SNACKPLEX","101 MEADOWLANDS DR","HILLSBOROUGH",NC,27278,,,+19196440339
4068010798,"BIG BOBS CITY GRILL","584 CORNELIUS ST","HILLSBOROUGH",NC,27278,,,+19197322953
4068010799,"MCDONALDS 2522","409 W FRANKLIN ST","CHAPEL HILL",NC,27514,,,+19197953629
4068010808,"FREEDOM HOUSE RECOVERY KITCHEN","102 NEW STATESIDE DR","CHAPEL HILL",NC,27516,,,+19199422803
4068010810,"ZHANG GARDEN","117 N SCOTSWOOD BLVD UNIT D","HILLSBOROUGH",NC,27278,,,+19196430000
4068010812,"BAR @ THE FRANKLIN","311 W FRANKLIN ST","CHAPEL HILL",NC,27516,,,+19198244194
4068010814,"TWISTED NOODLES","1800 E FRANKLIN ST UNIT 20B","CHAPEL HILL",NC,27514,,,+19199339933
4068010815,"SOCCER.COM CENTER","4701 WEST TEN RD","EFLAND",NC,27243,,,+19193041177
4068010818,"FOUR CORNERS","175 E FRANKLIN ST","CHAPEL HILL",NC,27514,,,+19195378230
4068010819,"JERSEY MIKES SUBS","245 A SOUTH ELLIOTT ROAD","CHAPEL HILL",NC,27514,,,+12522921112
4068010821,"IL PALIO SIENA HOTEL","1505 E FRANKLIN ST","CHAPEL HILL",NC,27514,,,
4068010826,"JACKS COUNTRY RESTAURANT","121 REBECCA DR","HILLSBOROUGH",NC,27278,,,+19197327022
4068010827,"KITCHEN AT MIDTOWN MARKET","764 MLK JR BLVD","CHAPEL HILL",NC,27514,,,+16102168771
4068010829,"WAFFLE HOUSE 721","110 DANIEL BOONE ST","HILLSBOROUGH",NC,27278,,,+17703267022
4068010831,"RAAGA","3140 ENVIRON WY","CHAPEL HILL",NC,27517,,,+19192407490
4068010832,"THE PIG","630 WEAVER DAIRY RD UNIT 101","CHAPEL HILL",NC,27514,,,+19196362005
4068010833,"VIMALAS CURRY BLOSSOM CAFE","431 W FRANKLIN ST SUITE 16","CHAPEL HILL",NC,27516,,,+19199293833
4068010842,"CARIBOU COFFEE COMPANY STORE 308","1408 E FRANKLIN ST","CHAPEL HILL",NC,27516,,,+19199683735
4068010852,"GOURMET KINGDOM","301 E MAIN ST","CARRBORO",NC,27510,,,+19199327222
4068010859,"PUEBLO VIEJO MEXICAN RESTAURANT","107 JAMES J FREELAND MEM DR","HILLSBOROUGH",NC,27278,,,+19197323480
4068010863,"ANTONIAS","101 N CHURTON ST","HILLSBOROUGH",NC,27278,,,+19196437722
4068010864,"HILLSBOROUGH BBQ COMPANY","236 S NASH ST","HILLSBOROUGH",NC,27278,,,+19197325647
4068010866,"RED BOWL ASIAN BISTRO","201 SOUTH ESTES DR","CHAPEL HILL",NC,27514,,,+19197187888
4068010868,"CHESTNUT RIDGE CAMP RETREAT CTR","4300 CAMP CHESTNUT RIDGE RD","EFLAND",NC,27243,,,+19193382820
4068010872,"TOKYO EXPRESS","145 MAYO ST","HILLSBOROUGH",NC,27278,,,+19192450809
4068010881,"AMERICAN HERO RESTAURANT","640 N CHURTON ST","HILLSBOROUGH",NC,27278,,,+19197321900
4068010887,"TOWN HALL GRILL","410 MARKET ST","CHAPEL HILL",NC,27517,,,+19199608696
4068010890,"CITY KITCHEN/VILLAGE BURGER","201 S ESTES DRIVE","CHAPEL HILL",NC,27514,,,+19199288200
4068010891,"PANERA BREAD","213 W FRANKLIN ST","CHAPEL HILL",NC,27514,,,+19199299189
4068010893,"GREAT HARVEST BREAD COMPANY","229 SOUTH ELLIOTT ROAD","CHAPEL HILL",NC,27514,,,+19199047292
4068010896,"VENABLE ROTISSERIE BISTRO","200 N GREENSBORO ST UNIT A18","CARRBORO",NC,27510,,,+19199043161
4068010897,"BURGER KING #749","450 ELLIOTT ROAD","CHAPEL HILL",NC,27514,,,+19199294391
4068010899,"WENDYS 11358","CAROLINA UNION 3103 FPG UNC","CHAPEL HILL",NC,27599,,,+19199620200
